,athlete,competition,round,date,total_time,lane,place,reaction_time,total_strides,hurdle_id,hurdle_timing,interval,velocity,strides,event,W/M,temporary_place,race,hurdle_id_label,cluster_id,split,is_pb,stride_diff,cluster,cluster_centroid,mean_intervals,median_intervals,std_intervals,quantile_intervals,mean_velocity,median_velocity,std_velocity,quantile_velocity,feature_importance
0,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,1,6.53,6.53,6.89,23.0,400m_H,W,4.0,1988_OG_FINAL,[start-H1],1,1,True,8.0,5,54.40875,6.365733944954129,6.36,0.16177774719531515,6.36,7.074266055045872,7.08,0.17966857056246655,7.08,0.07790507134031743
1,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,2,10.69,4.16,8.41,15.0,400m_H,W,5.0,1988_OG_FINAL,[H1-H2],1,2,True,0.0,5,54.40875,4.160412844036697,4.16,0.12436868862316806,4.16,8.43137614678899,8.41,0.21619656481030328,8.41,0.11001558137344784
2,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,3,14.98,4.29,8.16,15.0,400m_H,W,5.0,1988_OG_FINAL,[H2-H3],1,3,True,0.0,5,54.40875,4.273807339449542,4.28,0.13032642301446803,4.28,8.234266055045872,8.2,0.2513698192531679,8.2,0.08968970704449153
3,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,4,19.3,4.32,8.1,15.0,400m_H,W,5.0,1988_OG_FINAL,[H3-H4],1,4,True,0.0,5,54.40875,4.361743119266055,4.36,0.10621987487658244,4.36,8.041926605504587,8.03,0.21492245762411388,8.03,0.1014950004188169
4,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,5,23.82,4.52,7.74,15.0,400m_H,W,5.0,1988_OG_FINAL,[H4-H5],1,5,True,0.0,5,54.40875,4.495550458715596,4.495,0.10500787648654045,4.495,7.815963302752294,7.81,0.1647795302153203,7.81,0.08393406270844952
5,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,6,28.43,4.61,7.59,15.0,400m_H,W,4.0,1988_OG_FINAL,[H5-H6],1,6,True,0.0,5,54.40875,4.749128440366972,4.63,1.6128778047081362,4.63,7.545275229357799,7.6,0.4578110283999301,7.6,0.04232413435331572
6,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,7,33.11,4.68,7.48,15.0,400m_H,W,4.0,1988_OG_FINAL,[H6-H7],1,7,True,0.0,5,54.40875,4.794082568807339,4.8,0.11546472946338586,4.8,7.334311926605505,7.34,0.15740913242981805,7.34,0.04199094845618463
7,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,8,37.95,4.84,7.23,15.0,400m_H,W,4.0,1988_OG_FINAL,[H7-H8],1,8,True,0.0,5,54.40875,4.950458715596331,4.94,0.12268039718946103,4.94,7.095688073394495,7.1,0.15613633988054862,7.1,0.12107440092194824
8,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,9,43.04,5.09,6.88,16.0,400m_H,W,4.0,1988_OG_FINAL,[H8-H9],1,9,True,1.0,5,54.40875,5.101697247706422,5.1,0.11826066691005957,5.1,6.879128440366973,6.86,0.14210618480152998,6.86,0.05648888945108633
9,"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,10,48.28,5.24,6.68,16.0,400m_H,W,4.0,1988_OG_FINAL,[H9-H10],1,10,True,1.0,5,54.40875,5.333073394495412,5.27,0.3055948405487095,5.27,6.687706422018349,6.68,0.18379829170125714,6.68,0.151266550822363
