name,competition,heat,date,total_time,lane,place,reaction_time,total_strides,hurdle_id,hurdle_timing,interval,velocity,strides,event,W/M,temporary_place,race_id
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,1,6.53,6.53,6.89,23.0,400m_H,W,4.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,2,10.69,4.16,8.41,15.0,400m_H,W,5.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,3,14.98,4.29,8.16,15.0,400m_H,W,5.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,4,19.3,4.32,8.1,15.0,400m_H,W,5.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,5,23.82,4.52,7.74,15.0,400m_H,W,5.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,6,28.43,4.61,7.59,15.0,400m_H,W,4.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,7,33.11,4.68,7.48,15.0,400m_H,W,4.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,8,37.95,4.84,7.23,15.0,400m_H,W,4.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,9,43.04,5.09,6.88,16.0,400m_H,W,4.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,10,48.28,5.24,6.68,16.0,400m_H,W,4.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",FINAL,1988-09-28,54.04,8.0,6,0.316,179.0,11,54.04,5.76,6.94,19.0,400m_H,W,3.0,1988_OG_FINAL
"Abt, Gudrun","1988 Olympic Games (Seoul, KOR)",Semi-Final 2 ,1988-09-26,54.52,5.0,3,0.346,180.0,1,6.51,6.51,6.91,23.0,400m_H,W,3.0,1988_OG_Semi-Final 2 
